Epoch,Loss,Mae,Msssim,Val-Loss,Val-Mae,Val-Msssim,Learning-Rate,Time
1.0,14271.531421326754,15512.446837308114,1.0,13734.466378348214,14928.680385044643,1.0,1e-07,86.3085720539093
2.0,13920.173142817983,15130.535704495614,1.0,12716.92396763393,13822.65625,1.0,8.97777777777778e-06,86.93966221809387
3.0,6527.449000308388,7094.966100860061,1.0,3277.87255859375,3562.8178362165177,1.0,1.7855555555555557e-05,87.02754259109497
4.0,2876.8610304447643,3126.935782449287,1.0,3200.3026994977677,3478.5027901785716,1.0,2.6733333333333334e-05,86.82136631011963
5.0,2711.888985617119,2947.618349309553,1.0,3130.7333635602677,3402.8839285714284,1.0,3.561111111111112e-05,86.81420969963074
6.0,2517.037329958196,2735.823066577577,1.0,3020.698311941964,3283.2806570870534,1.0,4.44888888888889e-05,86.13314890861511
7.0,2104.0816157826207,2286.9582134046054,1.0,2361.292898995536,2566.535714285714,1.0,5.336666666666667e-05,86.32448863983154
8.0,2008.1466814007676,2182.6811041581004,1.0,2387.5342145647323,2595.0587855747767,1.0,6.224444444444446e-05,86.18014669418335
9.0,1979.9516419527824,2152.0343467310854,1.0,2484.9538051060267,2700.949637276786,1.0,7.112222222222223e-05,86.2322506904602
10.0,2011.4133493523848,2186.231849001165,1.0,2419.266671316964,2629.550606863839,1.0,8e-05,86.03617405891418
11.0,2079.5571706671462,2260.3012074253015,1.0,2344.454816545759,2548.233380998884,1.0,8e-05,86.50546050071716
12.0,2026.1349969161183,2202.233638294956,1.0,2521.8152204241073,2741.016357421875,1.0,8e-05,86.11184597015381
13.0,2067.058982447574,2246.7162154348275,1.0,2477.6054338727677,2692.962332589286,1.0,8e-05,86.47977709770203
14.0,1917.2854314435992,2083.918886418928,1.0,2415.710222516741,2625.6849365234375,1.0,8e-05,86.10688495635986
15.0,1965.9867500171326,2136.855114317777,1.0,2302.865966796875,2503.028163364955,1.0,8e-05,86.39269423484802
