Epoch,Loss,Mae,Msssim,Val-Loss,Val-Mae,Val-Msssim,Learning-Rate,Time
1.0,13960.406712582237,15511.45278234649,1.0,13464.339285714286,14960.26674107143,1.0,1e-07,79.75580739974976
2.0,13588.723581414473,15098.471474095395,1.0,12256.620814732143,13618.357421875,1.0,1.1200000000000001e-05,87.42599534988403
3.0,5620.767496744792,6245.186345685992,1.0,3197.7128557477677,3552.9031110491073,1.0,2.23e-05,100.83934164047241
4.0,2745.5916448225053,3050.5462796395286,1.0,3099.930245535714,3444.255859375,1.0,3.3400000000000005e-05,89.7544481754303
5.0,2654.3311414216696,2949.1456984135143,1.0,3194.7839006696427,3549.6487165178573,1.0,4.4500000000000004e-05,89.41120982170105
6.0,2446.0477948105126,2717.719757615474,1.0,2474.37109375,2749.1900809151784,1.0,5.56e-05,108.47362399101257
7.0,1928.1839246247944,2142.3155014305785,1.0,2565.7411063058034,2850.71231515067,1.0,6.670000000000001e-05,119.3834900856018
8.0,1977.8819130345394,2197.535474275288,1.0,2333.54092843192,2592.7121233258927,1.0,7.780000000000001e-05,119.69638776779175
9.0,1909.0173179224919,2121.0192796138294,1.0,2323.1656319754466,2581.1840297154017,1.0,8.89e-05,119.71003770828247
10.0,1933.5436358535499,2148.2707412452028,1.0,2282.8704833984375,2536.41170828683,1.0,0.0001,125.76726055145264
11.0,1941.1764644154332,2156.7516575863488,1.0,2290.9927804129466,2545.436453683036,1.0,0.0001,134.19154596328735
12.0,1977.5015483655427,2197.1128689949974,1.0,2355.4633440290177,2617.0703648158483,1.0,0.0001,116.97779846191406
13.0,1877.5585584138569,2086.065084892407,1.0,2251.409197126116,2501.45467703683,1.0,0.0001,117.32920289039612
14.0,1922.954426012541,2136.5049556263707,1.0,2248.034022739955,2497.7044677734375,1.0,0.0001,117.72955060005188
15.0,1891.4095887301262,2101.4551166735196,1.0,2539.1602608816966,2821.1781005859375,1.0,0.0001,89.08613586425781
16.0,2018.7480083264802,2242.9422757332786,1.0,2425.9397321428573,2695.377458844866,1.0,0.0001,81.23413825035095
17.0,1852.987334669682,2058.7637393349096,1.0,2298.851736886161,2554.168613978795,1.0,0.0001,81.39628529548645
18.0,1893.6409109015215,2103.9343732867324,1.0,2347.476719447545,2608.1963239397323,1.0,0.0001,89.61163258552551
19.0,1899.171760425233,2110.07974939179,1.0,2306.01318359375,2562.125819614955,1.0,0.0001,91.60249304771423
20.0,1928.4607019257128,2142.623032954701,1.0,2871.376220703125,3190.3069196428573,1.0,0.0001,80.98429870605469
21.0,2034.5025988127056,2260.447361996299,1.0,2396.1518031529017,2662.2797502790177,1.0,0.0001,81.26548767089844
22.0,1851.732138115063,2057.3690795898438,1.0,2244.285330636161,2493.5392543247767,1.0,0.0001,82.56440258026123
23.0,1825.0548299153645,2027.7276354337994,1.0,2191.8168596540177,2435.240966796875,1.0,0.0001,83.59097170829773
24.0,1814.3672715571888,2015.85254869963,1.0,2313.510009765625,2570.45556640625,1.0,0.0001,106.49740719795227
25.0,1936.4109454238624,2151.456627561335,1.0,2199.9546247209823,2444.282976422991,1.0,0.0001,120.59216690063477
26.0,1878.998121295059,2087.664600573088,1.0,2426.8106863839284,2696.34521484375,1.0,0.0001,116.70979166030884
27.0,1836.3723315858003,2040.3026069507264,1.0,2199.007080078125,2443.2301025390625,1.0,0.0001,116.4556245803833
28.0,1857.5253745631169,2063.805986370957,1.0,2191.5630405970983,2434.9590192522323,1.0,0.0001,106.56518220901489
29.0,1823.650605318839,2026.1673594692297,1.0,2307.224626813616,2563.4718191964284,1.0,0.0001,86.17418432235718
30.0,1888.8386069849919,2098.5984743352524,1.0,2323.6470772879466,2581.718976702009,1.0,0.0001,94.30549740791321
31.0,1753.599146257367,1948.3324226245545,1.0,2133.318341936384,2370.2426409040177,1.0,0.0001,138.27858066558838
32.0,1770.4854431152344,1967.0949765924822,1.0,2160.655535016741,2400.6173095703125,1.0,0.0001,123.74355292320251
33.0,1690.9608946683113,1878.7343760707922,1.0,2199.5662144252233,2443.8513532366073,1.0,0.0001,139.92470121383667
34.0,1808.7998967756305,2009.6665879634388,1.0,2109.0486886160716,2343.2764020647323,1.0,0.0001,145.50008606910706
35.0,1705.0220497532894,1894.3578619706004,1.0,2167.3114188058034,2408.0126953125,1.0,0.0001,133.15576601028442
36.0,1770.9269141481634,1967.5854984751918,1.0,2089.050519670759,2321.0562046595983,1.0,0.0001,118.25719141960144
37.0,1814.8197262412623,2016.355274401213,1.0,2179.8423374720983,2421.935965401786,1.0,0.0001,133.6276936531067
38.0,1687.3463166889392,1874.7181637412623,1.0,2078.1954345703125,2308.9949951171875,1.0,0.0001,127.85382127761841
39.0,1677.5318394711144,1863.8131895901863,1.0,2140.1993408203125,2377.88818359375,1.0,0.0001,134.5506739616394
40.0,1684.2962137858074,1871.3291770533513,1.0,2047.8789934430804,2275.310041155134,1.0,0.0001,110.75565814971924
