file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260107_110833_layers7_batch6_kernel3_alpha0.2,denoised_20260107_110833_layers7_batch6_kernel3_alpha0.2,66.4378433227539,24903.2265625,18.012024233705844,0.7010246705382437,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\MS30013_txt_20260107_110833_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30015_txt.h5,20260107_110833_layers7_batch6_kernel3_alpha0.2,denoised_20260107_110833_layers7_batch6_kernel3_alpha0.2,62.98832321166992,17303.33203125,18.023255743904713,0.6609810633009111,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\MS30015_txt_20260107_110833_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30017_txt.h5,20260107_110833_layers7_batch6_kernel3_alpha0.2,denoised_20260107_110833_layers7_batch6_kernel3_alpha0.2,57.850887298583984,9469.5986328125,17.355423130978483,0.6355037112032786,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\MS30017_txt_20260107_110833_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30019_txt.h5,20260107_110833_layers7_batch6_kernel3_alpha0.2,denoised_20260107_110833_layers7_batch6_kernel3_alpha0.2,10.482686996459961,301.33856201171875,19.40730934805407,0.4748130747332128,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\MS30019_txt_20260107_110833_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\nbvt0005_txt.h5,20260107_110833_layers7_batch6_kernel3_alpha0.2,denoised_20260107_110833_layers7_batch6_kernel3_alpha0.2,2.491436243057251,17.00954818725586,19.45870989500783,0.3588335335199108,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\nbvt0005_txt_20260107_110833_layers7_batch6_kernel3_alpha0.2_comparison.png
