file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260105_194320_layers7_batch6_kernel3_alpha0.1,denoised_20260105_194320_layers7_batch6_kernel3_alpha0.1,89.74382781982422,32368.17578125,16.87339810156892,0.5368282254874194,D:\ZhouHY\dccnn\dccnn-arpes-main\results\inference\previews\MS30013_txt_20260105_194320_layers7_batch6_kernel3_alpha0.1_comparison.png
data\converted_h5\MS30015_txt.h5,20260105_194320_layers7_batch6_kernel3_alpha0.1,denoised_20260105_194320_layers7_batch6_kernel3_alpha0.1,89.66727447509766,25888.81640625,16.273430481487875,0.5115143508678444,D:\ZhouHY\dccnn\dccnn-arpes-main\results\inference\previews\MS30015_txt_20260105_194320_layers7_batch6_kernel3_alpha0.1_comparison.png
data\converted_h5\MS30017_txt.h5,20260105_194320_layers7_batch6_kernel3_alpha0.1,denoised_20260105_194320_layers7_batch6_kernel3_alpha0.1,90.47425842285156,19660.51171875,14.182790282196159,0.49390429353332,D:\ZhouHY\dccnn\dccnn-arpes-main\results\inference\previews\MS30017_txt_20260105_194320_layers7_batch6_kernel3_alpha0.1_comparison.png
data\converted_h5\MS30019_txt.h5,20260105_194320_layers7_batch6_kernel3_alpha0.1,denoised_20260105_194320_layers7_batch6_kernel3_alpha0.1,22.17159652709961,891.57568359375,14.69627347818385,0.3425557109827727,D:\ZhouHY\dccnn\dccnn-arpes-main\results\inference\previews\MS30019_txt_20260105_194320_layers7_batch6_kernel3_alpha0.1_comparison.png
