Epoch,Loss,Mae,Msssim,Val-Loss,Val-Mae,Val-Msssim,Learning-Rate,Time
1.0,97.87922107033107,108.64397553568301,0.9964552920797597,104.60090042994572,116.11233205061693,0.9980457998239077,1e-07,334.54984402656555
2.0,89.57105804940929,99.41236374896505,0.9993371937585913,92.60707158308763,102.78563895592323,1.0,1.1200000000000001e-05,341.640025138855
3.0,86.82452541019606,96.36061051410178,0.9997892208721326,93.78518544710599,104.09465393653282,1.0,2.23e-05,337.5950791835785
4.0,86.92111747575842,96.4679333811221,0.9998036589311516,93.85882751758282,104.17647897280179,1.0,3.3400000000000005e-05,336.47327709198
5.0,86.66092284658681,96.17882941702138,0.999792652544768,91.8767815369826,101.97420494373029,1.0,4.4500000000000004e-05,348.88883113861084
6.0,86.87827338343081,96.42032765927522,0.9998114339683367,92.02127757439247,102.13475608825684,1.0,5.56e-05,341.00989961624146
7.0,86.6329278199569,96.14771006210991,0.9999189488265825,92.4426894554725,102.60299176436205,1.0,6.670000000000001e-05,358.1859302520752
8.0,85.80020594389542,95.22245431982952,1.0,89.24103670853835,99.04559949728159,1.0,7.780000000000001e-05,321.8347234725952
9.0,83.31384159585704,92.45982711626135,1.0,87.89776332561786,97.55307344289926,1.0,8.89e-05,330.316294670105
10.0,82.46355097397515,91.5150601013847,1.0,88.40395340552696,98.11550719921405,1.0,0.0001,338.5795602798462
11.0,81.54970988398013,90.49968128204345,1.0,84.9198144032405,94.24424156775841,1.0,0.0001,332.2093336582184
12.0,82.14825666676397,91.16473315695058,1.0,85.15087545835055,94.50097648914044,1.0,0.0001,321.98346877098083
13.0,81.07985503155253,89.97762042335842,1.0,85.53124295748196,94.92360643240121,1.0,0.0001,332.87587237358093
14.0,80.8891081188036,89.76567929309347,1.0,84.71431688161996,94.01591022198016,1.0,0.0001,339.7371497154236
15.0,81.10144155751104,90.00160515826681,1.0,85.24917235741249,94.61019376608041,1.0,0.0001,338.3225679397583
16.0,80.94840849171514,89.83156838624373,1.0,84.9354287661039,94.2615915445181,1.0,0.0001,340.2297682762146
17.0,80.5570925090624,89.3967728573343,1.0,86.05727181067833,95.50808290334848,1.0,0.0001,339.47694659233093
18.0,81.24563043843145,90.16181497159212,1.0,86.90864438277025,96.45405277839073,1.0,0.0001,339.3595209121704
19.0,80.2487641458926,89.05418546096138,1.0,83.61315763913669,92.79240050682655,1.0,0.0001,338.1670596599579
20.0,80.03915906159774,88.8212912435117,1.0,89.033904002263,98.81545279576228,1.0,0.0001,338.7295792102814
21.0,81.03147237197213,89.92386158652927,1.0,84.86531587747427,94.18368721008301,1.0,0.0001,339.10801100730896
22.0,80.46446324224057,89.29385152899701,1.0,84.33380281008206,93.59311742048997,1.0,0.0001,337.95204067230225
23.0,80.52446058522101,89.36051526276961,1.0,84.28551351107083,93.53946274977464,1.0,0.0001,339.73770689964294
24.0,80.26016372183095,89.06685203883958,1.0,83.68926224341759,92.87696119455191,1.0,0.0001,338.8646218776703
25.0,79.94185865651006,88.71317953856095,1.0,83.52997163625864,92.69997200599083,1.0,0.0001,338.94080877304077
26.0,80.90973543913468,89.78859862451968,1.0,85.65434367840106,95.0603855573214,1.0,0.0001,338.83027243614197
27.0,80.17993494946023,88.9777087253073,1.0,88.39358755258414,98.10398982121394,1.0,0.0001,338.92323660850525
28.0,80.097126471478,88.88569959557574,1.0,83.73220370366023,92.92467308044434,1.0,0.0001,338.66512298583984
29.0,80.35860214233398,89.17622810032057,1.0,86.93073353400597,96.47859580700214,1.0,0.0001,339.19038462638855
30.0,80.3139205020407,89.12658219544784,1.0,83.44334514324481,92.60371956458458,1.0,0.0001,339.6359362602234
31.0,80.27267960258152,89.08075866699218,1.0,87.06760377150316,96.63067414210393,1.0,0.0001,339.21537566185
32.0,80.02853108281674,88.80948241689931,1.0,84.87147228534405,94.19052842947153,1.0,0.0001,339.0320956707001
33.0,80.02674983480702,88.80750341000764,1.0,83.63513315640964,92.81681757706862,1.0,0.0001,340.3802635669708
34.0,80.12511858732805,88.91680188386337,1.0,84.63112310262827,93.92347328479474,1.0,0.0001,339.232519865036
35.0,79.8440309856249,88.60448246002197,1.0,83.43063794649564,92.58960107656625,1.0,0.0001,338.94940996170044
36.0,79.67948040340258,88.4216484401537,1.0,83.53603861882137,92.70671301621657,1.0,0.0001,339.23265290260315
37.0,80.5827587293542,89.4252907877383,1.0,83.43102271740253,92.59002824930045,1.0,0.0001,339.95759201049805
38.0,80.00026408485745,88.7780746459961,1.0,84.06304799593411,93.29227836315448,1.0,0.0001,338.8387289047241
39.0,79.61299546283225,88.34777664516282,1.0,84.79153449718768,94.1017086322491,1.0,0.0001,339.14512944221497
40.0,79.83727390455164,88.59697484555451,1.0,83.35326473529523,92.50363085820125,1.0,0.0001,340.09180212020874
41.0,79.58937396173891,88.32153010161026,1.0,86.06455164689284,95.51617138202374,1.0,0.0001,339.0121259689331
42.0,79.56250607863717,88.2916770271633,1.0,83.7421630712656,92.93573981065016,1.0,0.0001,339.5408601760864
43.0,79.64606780176577,88.38452301854673,1.0,83.27178690983699,92.41309972909781,1.0,0.0001,339.88657569885254
44.0,79.50606256567913,88.2289622431216,1.0,84.92698574066162,94.25221032362718,1.0,0.0001,340.5302333831787
