file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,95.42135620117188,36431.55078125,16.35980487932672,0.48141814694075247,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v2\eval\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30013_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30015_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,94.238525390625,28539.978515625,15.850015945241775,0.46855398414124166,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v2\eval\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30015_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30017_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,92.13111877441406,19420.53515625,14.2361279574278,0.4905468325390311,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v2\eval\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30017_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30019_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,16.86832046508789,627.50048828125,16.221714929901957,0.37754022904089146,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_v2\eval\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30019_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
