file,model_tag,dataset,mae,mse,psnr,ssim,preview,cutoff_idx,cutoff_energy,cutoff_axis
data\converted_h5\MS30013_txt.h5,20260114_164841_layers7_batch6_kernel3_alpha0.08,denoised_20260114_164841_layers7_batch6_kernel3_alpha0.08,2.4325947761535645,30.109346389770508,47.18756770516555,0.999254021234121,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_quick4\previews\20260114_164841_layers7_batch6_kernel3_alpha0.08\MS30013_txt_20260114_164841_layers7_batch6_kernel3_alpha0.08_comparison.png,1209,41.04499816894531,0
data\converted_h5\MS30015_txt.h5,20260114_164841_layers7_batch6_kernel3_alpha0.08,denoised_20260114_164841_layers7_batch6_kernel3_alpha0.08,2.3531203269958496,25.31478500366211,46.3708093891399,0.9990475928334387,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_quick4\previews\20260114_164841_layers7_batch6_kernel3_alpha0.08\MS30015_txt_20260114_164841_layers7_batch6_kernel3_alpha0.08_comparison.png,1209,38.04499816894531,0
data\converted_h5\MS30017_txt.h5,20260114_164841_layers7_batch6_kernel3_alpha0.08,denoised_20260114_164841_layers7_batch6_kernel3_alpha0.08,1.8977761268615723,12.132511138916016,46.27923158144604,0.9982166992514329,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_quick4\previews\20260114_164841_layers7_batch6_kernel3_alpha0.08\MS30017_txt_20260114_164841_layers7_batch6_kernel3_alpha0.08_comparison.png,1209,35.04499816894531,0
data\converted_h5\MS30019_txt.h5,20260114_164841_layers7_batch6_kernel3_alpha0.08,denoised_20260114_164841_layers7_batch6_kernel3_alpha0.08,0.37340056896209717,0.6540310382843018,46.04187275355692,0.9963089775084438,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt_quick4\previews\20260114_164841_layers7_batch6_kernel3_alpha0.08\MS30019_txt_20260114_164841_layers7_batch6_kernel3_alpha0.08_comparison.png,1209,32.04499816894531,0
