file,model_tag,dataset,mae,mse,psnr,ssim,preview
data\converted_h5\MS30013_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,95.42135620117188,36431.55078125,16.35980487932672,0.48141814694075247,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30013_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30015_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,94.238525390625,28539.978515625,15.850015945241775,0.46855398414124166,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30015_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30017_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,92.13111877441406,19420.53515625,14.2361279574278,0.4905468325390311,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30017_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30019_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,16.86832046508789,627.50048828125,16.221714929901957,0.37754022904089146,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30019_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30021_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,81.84864044189453,17012.154296875,16.288646688070344,0.47244739191286494,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30021_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30023_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,161.95938110351562,70743.3671875,17.6894521716263,0.5044801561857497,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30023_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30025_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,423.91094970703125,324151.15625,10.325980456334074,0.39585172707425903,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30025_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30027_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,465.9430236816406,438050.3125,11.545212671984439,0.4115955571438163,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30027_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30029_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,1701.2630615234375,4654073.5,10.879979570114319,0.3163859833819111,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30029_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30031_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,870.0239868164062,1154647.875,10.698268772236501,0.40578401425904176,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30031_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
data\converted_h5\MS30033_txt.h5,20260107_194409_layers7_batch6_kernel3_alpha0.2,denoised_20260107_194409_layers7_batch6_kernel3_alpha0.2,638.3109130859375,530503.8125,12.926949508929344,0.5425490602862253,D:\ZhouHY\dccnn\dccnn-arpes-main\results_ms_txt\previews\20260107_194409_layers7_batch6_kernel3_alpha0.2\MS30033_txt_20260107_194409_layers7_batch6_kernel3_alpha0.2_comparison.png
